# crate<TAB>tier<TAB>license<TAB>rationale
# ----------------------------------------------------------------------
# Hand-curated mapping consumed by scripts/license-table.sh. Adding a new
# crate to the workspace REQUIRES adding a row here in the same PR; the
# CI gate (`license-table.sh --check`) refuses to merge otherwise.
#
# Two tiers (see ADR-092):
#   - core      → AGPL-3.0-only   (runtime, daemons, end-to-end binaries,
#                                  MCP servers — anything that boots and
#                                  talks to the outside world).
#   - frontier  → Apache-2.0      (pure libs / SDKs / type crates /
#                                  trait families a third party might
#                                  `cargo add` to build on top of cosmon).
#
# Placement test (ADR-092 §3):
#   « Un tiers ferait-il `cargo add cosmon-X` sans vouloir tout
#     AGPL-iser son projet ? » Yes → frontier ; No → core.
#
# If unsure, choose core (safe default — preserves the
# flèche-non-inversée invariant). Park the doubt in
# docs/license/temp-warm-list.md for the next operator audit.
# ----------------------------------------------------------------------

# --- Core (AGPL-3.0-only) ---------------------------------------------
# --- Core (AGPL-3.0-only) ---------------------------------------------
neurion-mcp	core	AGPL-3.0-only	neurion MCP server
noogram-mycelial-monitor	core	AGPL-3.0-only	runtime monitor
schedulerd	core	AGPL-3.0-only	scheduler daemon
topon-mcp	core	AGPL-3.0-only	topon MCP server

# --- Frontier (Apache-2.0) --------------------------------------------
apps-transport-http	frontier	Apache-2.0	HTTP-on-Tailscale transport — vendored sibling-galaxy lib, Apache ⑦
almanac-identifier-graph	frontier	Apache-2.0	citation identifier graph data structure (ADR-091 §D3) — pure lib, NDJSON wire format
almanac-materialize	frontier	Apache-2.0	abstract citation graph trait family (ADR-091 §D6) — explicit open-extensibility seam
almanac-resolver	frontier	Apache-2.0	citekey resolver lib
almanac-scihub-index	frontier	Apache-2.0	read-only Bloom + columnstore lookup lib (ADR-091 §D7) — no network, no binary
claudion	frontier	Apache-2.0	session-energy probe lib (vendored in-tree)
cosmon-bridge-gastown	frontier	Apache-2.0	GasTown bridge lib
cosmon-client	frontier	Apache-2.0	client SDK
cosmon-llama-sys	frontier	Apache-2.0	raw FFI over vendored llama.cpp (MIT) — Apache wrapper, vendored ⑦
cosmon-thin-cli	frontier	Apache-2.0	thin CLI lib
cosmon-thin-macro	frontier	Apache-2.0	thin proc-macro
foundry-core	frontier	Apache-2.0	formal-methods core
foundry-kernel	frontier	Apache-2.0	foundry kernel
foundry-lean-syntax	frontier	Apache-2.0	Lean syntax adapter
foundry-probe	frontier	Apache-2.0	foundry probe lib
ga-core	frontier	Apache-2.0	GA primitives
ga-island	frontier	Apache-2.0	GA island model
ga-operators	frontier	Apache-2.0	GA operators
ga-proof-search	frontier	Apache-2.0	GA proof search
neurion-core	frontier	Apache-2.0	neurion core lib
mailroom-voice-core	frontier	Apache-2.0	voice core lib
mailroom-voice-gridco	frontier	Apache-2.0	gridco adapter
mailroom-voice-tts	frontier	Apache-2.0	tts adapter
mailroom-voice-whisper	frontier	Apache-2.0	whisper adapter
topon-core	frontier	Apache-2.0	topon core lib
